"column","variable","label","value_labels","class","type","n_na","range"
"58","mrivas_a3_03_full","Pretzels Large - Full","NULL","numeric","double","4","c(0, 100)"
"59","mrivas_a3_03_like","Pretzels Large - Like","NULL","numeric","double","4","c(0, 100)"
"60","mrivas_a3_04_full","Brownie Large - Full","NULL","numeric","double","4","c(0, 100)"
"61","mrivas_a3_04_like","Brownie Large - Like","NULL","numeric","double","4","c(0, 100)"
"62","mrivas_a3_05_full","Cake Large - Full","NULL","numeric","double","4","c(0, 100)"
"63","mrivas_a3_05_like","Cake Large - Like","NULL","numeric","double","4","c(0, 100)"
"64","mrivas_a3_06_full","Chocolate Candy Large - Full","NULL","numeric","double","4","c(0, 100)"
"65","mrivas_a3_06_like","Chocolate Candy Large - Like","NULL","numeric","double","4","c(0, 100)"
"66","mrivas_a4_01_full","Doughnut Large - Full","NULL","numeric","double","4","c(0, 100)"
"67","mrivas_a4_01_like","Doughnut Large - Like","NULL","numeric","double","4","c(0, 100)"
"68","mrivas_a4_02_full","Fruit Candy Chews Large - Full","NULL","numeric","double","4","c(0, 100)"
"69","mrivas_a4_02_like","Fruit Candy Chews Large - Like","NULL","numeric","double","4","c(0, 100)"
"70","mrivas_a4_03_full","Muffin Large - Full","NULL","numeric","double","4","c(0, 100)"
"71","mrivas_a4_03_like","Muffin Large - Like","NULL","numeric","double","4","c(0, 100)"
"72","mrivas_a4_04_full","Rice Treats Large - Full","NULL","numeric","double","4","c(0, 100)"
"73","mrivas_a4_04_like","Rice Treats Large - Like","NULL","numeric","double","4","c(0, 100)"
"74","mrivas_a4_05_full","Sugar Cookie Large - Full","NULL","numeric","double","4","c(0, 100)"
"75","mrivas_a4_05_like","Sugar Cookie Large - Like","NULL","numeric","double","4","c(0, 100)"
"76","mrivas_a4_06_full","Waffle Large - Full","NULL","numeric","double","4","c(0, 100)"
"77","mrivas_a4_06_like","Waffle Large - Like","NULL","numeric","double","4","c(0, 100)"
"78","mrivas_a5_01_full","Chocolate Ice Cream Large - Full","NULL","numeric","double","4","c(0, 100)"
"79","mrivas_a5_01_like","Chocolate Ice Cream Large - Like","NULL","numeric","double","4","c(0, 100)"
"80","mrivas_a5_02_full","Chocolate Peanut Butter Candy Large - Full","NULL","numeric","double","4","c(0, 100)"
"81","mrivas_a5_02_like","Chocolate Peanut Butter Candy Large - Like","NULL","numeric","double","4","c(0, 100)"
"82","mrivas_a5_03_full","Chocolate Pie Large - Full","NULL","numeric","double","4","c(0, 100)"
"83","mrivas_a5_03_like","Chocolate Pie Large - Like","NULL","numeric","double","4","c(0, 100)"
"84","mrivas_a5_04_full","Chocolate Sandwich Cookie Large - Full","NULL","numeric","double","4","c(0, 100)"
"85","mrivas_a5_04_like","Chocolate Sandwich Cookie Large - Like","NULL","numeric","double","4","c(0, 100)"
"86","mrivas_a5_05_full","Cinnamon Roll Large - Full","NULL","numeric","double","4","c(0, 100)"
"87","mrivas_a5_05_like","Cinnamon Roll Large - Like","NULL","numeric","double","4","c(0, 100)"
"88","mrivas_a5_06_full","Coffee Cake Large - Full","NULL","numeric","double","4","c(0, 100)"
"89","mrivas_a5_06_like","Coffee Cake Large - Like","NULL","numeric","double","4","c(0, 100)"
"90","mrivas_b1_01_full","Chocolate Ice Cream Small - Full","NULL","numeric","double","4","c(0, 100)"
"91","mrivas_b1_01_like","Chocolate Ice Cream Small - Like","NULL","numeric","double","4","c(0, 100)"
"92","mrivas_b1_02_full","Chocolate Peanut Butter Candy Small - Full","NULL","numeric","double","4","c(0, 100)"
"93","mrivas_b1_02_like","Chocolate Peanut Butter Candy Small - Like","NULL","numeric","double","4","c(0, 100)"
"94","mrivas_b1_03_full","Chocolate Pie Small - Full","NULL","numeric","double","4","c(0, 100)"
"95","mrivas_b1_03_like","Chocolate Pie Small - Like","NULL","numeric","double","4","c(0, 100)"
"96","mrivas_b1_04_full","Chocolate Sandwich Cookie Small - Full","NULL","numeric","double","4","c(0, 100)"
"97","mrivas_b1_04_like","Chocolate Sandwich Cookie Small - Like","NULL","numeric","double","4","c(0, 100)"
"98","mrivas_b1_05_full","Cinnamon Roll Small - Full","NULL","numeric","double","4","c(0, 100)"
"99","mrivas_b1_05_like","Cinnamon Roll Small - Like","NULL","numeric","double","4","c(0, 100)"
"100","mrivas_b1_06_full","Coffee Cake Small - Full","NULL","numeric","double","4","c(0, 100)"
"101","mrivas_b1_06_like","Coffee Cake Small - Like","NULL","numeric","double","4","c(0, 100)"
"102","mrivas_b2_01_full","Bacon Small - Full","NULL","numeric","double","4","c(0, 100)"
"103","mrivas_b2_01_like","Bacon Small - Like","NULL","numeric","double","4","c(0, 100)"
"104","mrivas_b2_02_full","Bagel Small - Full","NULL","numeric","double","4","c(0, 100)"
"105","mrivas_b2_02_like","Bagel Small - Like","NULL","numeric","double","4","c(0, 100)"
"106","mrivas_b2_03_full","Cheeseburger Small - Full","NULL","numeric","double","4","c(0, 100)"
"107","mrivas_b2_03_like","Cheeseburger Small - Like","NULL","numeric","double","4","c(0, 100)"
"108","mrivas_b2_04_full","Chicken Nuggets Small - Full","NULL","numeric","double","4","c(0, 100)"
"109","mrivas_b2_04_like","Chicken Nuggets Small - Like","NULL","numeric","double","4","c(0, 100)"
"110","mrivas_b2_05_full","Chips w/ Cheese Small - Full","NULL","numeric","double","4","c(0, 100)"
"111","mrivas_b2_05_like","Chips w/ Cheese Small - Like","NULL","numeric","double","4","c(0, 100)"
"112","mrivas_b2_06_full","Fish Sticks Small - Full","NULL","numeric","double","4","c(0, 100)"
"113","mrivas_b2_06_like","Fish Sticks Small - Like","NULL","numeric","double","4","c(0, 100)"
"114","mrivas_b3_01_full","French Fries Small - Full","NULL","numeric","double","4","c(0, 100)"
"115","mrivas_b3_01_like","French Fries Small - Like","NULL","numeric","double","4","c(0, 100)"
"116","mrivas_b3_02_full","Grilled Cheese Small - Full","NULL","numeric","double","4","c(0, 100)"
"117","mrivas_b3_02_like","Grilled Cheese Small - Like","NULL","numeric","double","4","c(0, 100)"
"118","mrivas_b3_03_full","Italian Sub Small - Full","NULL","numeric","double","4","c(0, 100)"
"119","mrivas_b3_03_like","Italian Sub Small - Like","NULL","numeric","double","4","c(0, 100)"
"120","mrivas_b3_04_full","Mac and Cheese Small - Full","NULL","numeric","double","4","c(0, 100)"
"121","mrivas_b3_04_like","Mac and Cheese Small - Like","NULL","numeric","double","4","c(0, 100)"
"122","mrivas_b3_05_full","Peanut Butter Crackers Small - Full","NULL","numeric","double","4","c(0, 100)"
"123","mrivas_b3_05_like","Peanut Butter Crackers Small - Like","NULL","numeric","double","4","c(0, 100)"
"124","mrivas_b3_06_full","Peanuts Small - Full","NULL","numeric","double","4","c(0, 100)"
"125","mrivas_b3_06_like","Peanuts Small - Like","NULL","numeric","double","4","c(0, 100)"
"126","mrivas_b4_01_full","Pizza Small - Full","NULL","numeric","double","4","c(0, 100)"
"127","mrivas_b4_01_like","Pizza Small - Like","NULL","numeric","double","4","c(0, 100)"
"128","mrivas_b4_02_full","Potato Chips Small - Full","NULL","numeric","double","4","c(0, 100)"
"129","mrivas_b4_02_like","Potato Chips Small - Like","NULL","numeric","double","4","c(0, 100)"
"130","mrivas_b4_03_full","Pretzels Small - Full","NULL","numeric","double","4","c(0, 100)"
"131","mrivas_b4_03_like","Pretzels Small - Like","NULL","numeric","double","4","c(0, 100)"
"132","mrivas_b4_04_full","Brownie Small - Full","NULL","numeric","double","4","c(0, 100)"
"133","mrivas_b4_04_like","Brownie Small - Like","NULL","numeric","double","4","c(0, 100)"
